d,phi,u
0.0026479735408995175,-0.20247760838627946,-0.19230468018739263
0.0026479735408995175,-0.20247760838627946,0.7433215511663653
0.0026479735408995175,-0.20247760838627946,0.7133316464057092
0.0026479735408995175,-0.20247760838627946,-0.3088220114022577
0.0026479735408995175,-0.20247760838627946,1.1618159496447562
0.0026454354564355853,-0.19593919704982288,-0.20309876362582135
0.0023346358207216866,-0.19932793307766683,0.4064667522530568
0.0017560384150190345,-0.2108203650752264,0.35504406562178464
0.000792375729897099,-0.23411380613977828,0.8781944255010201
-7.457244781594596e-05,-0.24758314233529286,0.5004081933949963
-0.001094089928173947,-0.26269767957562307,-0.08462203613247303
-0.002240968667352128,-0.27838101294427225,0.7037579689632674
-0.003512864546642902,-0.2945573029574647,0.4840928407953835
-0.00498544355173669,-0.31358355752548145,-0.631725097927794
-0.00633301585419499,-0.32532927754888763,0.4060118550367036
-0.008001981152914617,-0.3439048677185612,-0.06823330466325368
-0.009866900196970008,-0.36473859321220137,0.2338348244631218
-0.011215401765846789,-0.36893240367455965,0.15118444035914586
-0.012723162087810103,-0.37600057032588186,-0.2247731870239219
-0.014074457264912077,-0.37765575967930676,-0.6808303110940267
-0.015279241319416492,-0.374619702041221,-0.14440857828106474
-0.016540622917045944,-0.37255236582926526,-0.5962399147465248
-0.017797844286375764,-0.36994708178488933,-0.21888488922176716
-0.01881468798394792,-0.36060961582936485,0.14528281395999865
-0.0193521601843063,-0.33783664014967646,-0.9240985974840115
-0.01979984353281239,-0.31235991825592885,0.42877098638918154
-0.019947278755577447,-0.27700942736890577,0.6605718612608659
-0.020047257307137745,-0.2393909204464559,0.71438298902148
-0.020246360490046023,-0.20587626134633277,0.581579082100731
-0.02016395846553376,-0.15809524683482581,-0.19592874410121802
-0.02025677141874116,-0.1204978840313401,0.8522420448564659
-0.020471502339576286,-0.09558970062266609,0.3628792858145755
-0.020731757818208685,-0.08036225970349366,-0.21442733512263082
-0.020906024293379843,-0.060566331838524286,-0.23993685131314002
-0.02112505481782634,-0.05428056176982685,-0.697661307460282
-0.021342878135743426,-0.051547549140530634,-0.08342977922267879
-0.021502687820040833,-0.042271815943096036,0.9496807388077505
-0.02159859085085225,-0.026900566316769157,-0.9485661946607635
-0.021617495922751306,0.0013822051503836023,0.3078313842986901
-0.021594632211795695,0.03061777007563475,0.016949493058749942
-0.02147957685602675,0.04346058069738495,0.22642077152338366
-0.021401011119200675,0.07373378648058194,-0.20920546390775546
-0.021232377487722776,0.09817337508770752,-1.033407053337224
-0.021012408885885847,0.12240519366290407,0.0006508137385068793
-0.020698054935142984,0.14296575690268484,0.6945154957708485
-0.020394182212087664,0.16760500277562335,0.6131324236089369
-0.020337285703095453,0.2089590158655042,0.587898953712267
-0.02020413516824826,0.24812164698109218,0.20774095512993826
-0.01969310310067751,0.2738206690184211,-0.9005342956349902
-0.018858078165644443,0.2892076143906239,-0.6205498756805355
-0.017756658528897518,0.2960779844846618,0.6895223648849887
-0.01661931862084387,0.3019032893139958,-0.17226262238269432
-0.015986905011997177,0.3252941250933349,-0.4528905821861325
-0.01564877468899173,0.35924201403010425,0.12758611547383417
-0.014809345512254435,0.38050481169388806,0.08866532854702566
-0.014050915888677018,0.4051369467088791,-0.14463225147361886
-0.01354813743814498,0.43736630675830673,-0.13619633961744065
-0.012862237738035631,0.46650531687658,-0.10193564931248822
-0.012035582705156589,0.49361470350329983,0.2678577290824046
-0.011264805773681719,0.5228533761043509,0.4146493669319841
-0.010533575276498564,0.5537968313522189,-0.5836492480316908
-0.009804329543887658,0.5856467533889127,0.08577471189678681
-0.009073812877728127,0.6182822799759221,0.4429764058218245
-0.007978277776216736,0.6454354408666236,-0.7073615216440814
-0.006411839059512037,0.665390690856365,0.25935565771245944
-0.005466534460465855,0.6957460616480026,0.11042479815156006
-0.004340225960191457,0.7239578044691419,-0.4591698889254734
-0.0026574127416498783,0.744358374817099,-0.5323461554855106
-0.001797264117523234,0.7771615611460632,0.07046351300470687
-0.000513811154226218,0.8046017283359578,0.8951847991536731
0.0009605365682849865,0.8298761265980071,-0.20211994745688466
0.0018986876509834438,0.8627667699072076,-0.26117599605699493
0.002277397793673419,0.9034777633666067,-0.12223692862934471
0.0029620935444230057,0.940919565814674,-0.8025719860051662
0.005031201011794995,0.9617827146171045,-0.7390995686394244
0.006780131543198564,0.986566109370159,-0.5528640939894375
0.008177870335938309,1.015731318090423,0.4222729061999724
0.009475610723466588,1.0463784477918074,0.6540688398115395
0.009700286147446224,1.0896488266330933,0.0705069934824002
0.009085091385447441,1.142801481106198,-0.1595467128442975
0.008017344411574534,1.2014148498827129,0.08277970197022917
0.008084576616095074,1.2485085543856929,0.23705258240287239
0.00949877637897334,1.2817552842914164,0.2760145330135499
0.011122678414013265,1.3127273336516703,-0.1455198173651251
0.01255280685306559,1.3455622216446286,-0.8971274775139225
0.014214204398401709,1.3759727962056887,0.14430787391034072
0.016322833075467447,1.4017110844518927,-0.38671033514929865
0.01887051054088751,1.4227506920483772,-0.18094201175484798
0.02109062776708548,1.4467436822547493,-0.23323679626312022
0.021792251921559647,1.4858230650588369,-0.382731598542129
0.022951320425256938,1.5206200655905406,0.9749018483196465
0.023607941928687648,1.5605559716371722,-0.3320046791818196
-0.2581871051131164,-1.5400765298496264,0.4006141900644447
-0.2586137936918953,-1.4973571180893124,-0.1529367996602451
