d,phi,u
-0.08982070675217424,0.7369285535534867,-0.16127851396825565
-0.08982070675217424,0.7369285535534867,-0.16127851396825565
-0.08982070675217424,0.7369285535534867,-0.16127851396825565
-0.08982070675217424,0.7369285535534867,-0.16127851396825565
-0.08982070675217424,0.7369285535534867,-0.16127851396825565
-0.08977719399861497,0.7429498621196243,-0.15482207786652535
-0.08969666978785423,0.7541896381097478,-0.1427770597687945
-0.08958404106612147,0.769952085867326,-0.12588832479388878
-0.0894430798628168,0.789634182490031,-0.10479661613813696
-0.08926903438909349,0.8126057008608178,-0.08008464303011709
-0.08905054560673108,0.838227301111646,-0.05227815495566479
-0.08877110099746566,0.8658641600755951,-0.021846849899061493
-0.08843727700357443,0.8952475765909161,0.010874806555171923
-0.08799299354807946,0.9335319115431067,0.053601976062312096
-0.08741326502478722,0.9638524251520882,0.08971977490421612
-0.08667354280385162,0.9938276511115234,0.12709222307300716
-0.08574654805887019,1.0311467774200143,0.1736812968313124
-0.08459226591457615,1.0588332781115986,0.21291061896583707
-0.08319145966652938,1.0928914611279836,0.26097686446268975
-0.08151709598205237,1.116495165625385,0.3013242058048613
-0.07961198538359977,1.146427540046669,0.3503076862106713
-0.07743497634839105,1.165648302144252,0.3912985386603416
-0.0749669758559231,1.190386063735377,0.4407163051761459
-0.0721791663934906,1.2119481356644843,0.4901564717295783
-0.06905535876448123,1.2217290043927818,0.5311754167479695
-0.06557466033073955,1.2360602001013927,0.5803135967939972
-0.06173203599671964,1.2464371914730152,0.6291168315058189
-0.05751074105190475,1.2525662521614902,0.6774588416424427
-0.05289861698141764,1.2541922356695332,0.7252060658553569
-0.04790113165559852,1.2512341557515057,0.7722228391955205
-0.042512095359355365,1.2349890559833674,0.8098681023898138
-0.03673354505841454,1.2307757040283187,0.8634402534441733
-0.03049462404736864,1.2121642110686832,0.9072179705949968
-0.023824256635343377,1.1876563628983359,0.9494137965449021
-0.01676870771475094,1.166010222469944,0.9983231453224346
-0.009343117869502707,1.1299179482648767,1.0364867695698496
-0.0015964442735308176,1.096653403135008,1.0806889603996996
0.006422159108155245,1.057679105635652,1.1219006967172045
0.014666722739868986,1.0129338424423955,1.1596010698410852
0.023016087518037916,0.9631499016387911,1.1933107768191702
0.03136433572482029,0.917665215350067,1.2313085725982698
0.039606088497117706,0.8683461507445915,1.2644070357157686
0.047657003943843146,0.8070269345267412,1.2835969739651727
0.055433288808535486,0.7514045135440145,1.3057374016293695
0.06285999925643537,0.6931564754570892,1.321756468021443
0.06987332633132846,0.6410172995288166,1.3397505628421014
0.07640993266091407,0.5782532436534735,1.3423525702626142
0.08241074394941916,0.5135954176553236,1.337702857149515
0.08783161333984757,0.4553355084213763,1.333651641819852
0.09261806846504138,0.387280812454576,1.3134614971049898
0.09673646989211249,0.3255988882709716,1.2929635871920966
0.10014032755727212,0.26225926052788184,1.263662536100603
0.10279627320925465,0.18992080726295957,1.217883539355506
0.10467841776141285,0.12368731052740023,1.1704714881415286
0.10575366300752383,0.055999518825798546,1.1135361489010367
0.10599863190633788,-0.013088565708247232,1.0468977533551316
0.10539381305931969,-0.0835254721837768,0.9704126584094201
0.10392914192879402,-0.16161643530452535,0.8776749839834148
0.10158100461972078,-0.2405568515152336,0.7752531946819741
0.0981703046985649,-0.33867883519838277,0.6430242117872662
0.09429291208071265,-0.3886926469064637,0.5542364739006629
0.08944161847709041,-0.46779994456406776,0.42661624020683636
0.08386095181623393,-0.5404915416187045,0.2981179765436348
0.07768850643527907,-0.6162090495390284,0.16067601481376226
0.07112217492114944,-0.6926552990392556,0.018566450172238902
0.06432552419562035,-0.7586846051213897,-0.11542936316518626
0.05750860507464275,-0.8229590806090854,-0.2478730298626579
0.050875069850682235,-0.8792004438116687,-0.3704497453048464
-0.28363481912037597,2.1331789706992046,-0.703169220504555
-0.27765037983237684,2.092876736427928,-0.6836270618958404
-0.27244213116034643,2.063904579538666,-0.6605167320647984
-0.2681183370732478,2.0469540682655647,-0.6342293024669132
-0.2647449356747716,2.042460132263471,-0.6049892244842447
-0.2626809650205391,2.048919431286479,-0.5778902189189119
-0.2616848496926472,2.069244608138017,-0.5476038887884549
-0.26153474528796117,2.101201706943763,-0.5141457459358487
-0.26202883039846864,2.1428016809498582,-0.47748662303482803
0.02491394183041841,-0.8753596606185245,-0.6262202423143405
0.02610945380065054,-0.8195209988071922,-0.5584264608006868
0.027463799305221432,-0.7586674270908966,-0.4840294340386823
0.028871420500686792,-0.6985370620264312,-0.4098228570195632
0.030243413635610138,-0.6312223858898706,-0.3287882495337692
0.03168808991717336,-0.5636734743689135,-0.24679257519717984
0.033065101021592484,-0.4931481331048416,-0.16249712288891677
0.034275554128246316,-0.4212901460887486,-0.07853460480628544
0.03526304734121272,-0.34481087177742165,0.00781960163470552
0.03600370590496941,-0.27442582481653033,0.08561123423316375
0.03650228299599522,-0.2066574696651288,0.15836536029482343
0.0367902638654668,-0.13775735991456511,0.23014527874010288
0.036920811569112096,-0.07821328402155556,0.2909948316695654
0.036952574137866574,-0.019235361766740455,0.3502903796119253
0.036952083058169743,0.03378531695023462,0.40330614753193206
0.0369829597764824,0.08043048250001744,0.4502600802648415
0.03710043036814332,0.12516546730174596,0.49616977098317916
0.03735343225583233,0.1582491570939586,0.5317834796522819
0.03777005208236339,0.1891775215537801,0.566878042377414
0.03837054572052988,0.21317787999004775,0.5968833371953466
0.03916045192304183,0.23038504499360402,0.6219895642240223
0.04013317214921274,0.24093331385852157,0.6422650353506489
0.04127170706794991,0.24962255935656333,0.6623396300360624
0.042535389802696076,0.2431756517939614,0.6685295498209222
0.043928932317908474,0.24421918196362713,0.6835085051427119
0.045372213196355454,0.23520376782900618,0.6889258997925607
0.046832727546817145,0.22097883683076341,0.6893061122989348
0.04826376231170129,0.20188289435494164,0.6845205174719545
0.04961367867603877,0.17844117887203914,0.6745779656324269
0.050835721573478855,0.15096286297293965,0.6593200787077282
0.051883308084939246,0.12365940269225782,0.6424924835416503
0.052713476788237776,0.08933494288302918,0.6164697107654069
0.053284042412424175,0.052339344481413454,0.5851797686056551
0.053563326090192265,0.016674233531109865,0.5523074944330325
0.053527816190068064,-0.024210016578053665,0.511068145322627
0.0531584825952605,-0.06625387533395725,0.46533095061864777
0.052451369168244166,-0.10565334550506837,0.4188603461773733
0.051411276504718294,-0.14836354538137317,0.36574921966580975
0.05003675528683005,-0.19519347195385514,0.3051740809144453
0.048320620820927807,-0.2423218859739201,0.24088432223535797
0.04630459291626432,-0.2875886939682879,0.1754572351943553
0.044039717162329794,-0.33046759999969544,0.1099295716236025
0.041585543599564345,-0.3703918055546793,0.04546363044096413
0.0390095457211459,-0.40674568505090625,-0.01665022783944725
0.03638292697269274,-0.4389337859848918,-0.07510451625796438
0.03377622323799323,-0.4664210940475854,-0.1286588616676531
0.0312559820672752,-0.48874225389564646,-0.17618243322289445
0.028881750784484628,-0.5055116529379822,-0.2166941450931359
